"Rectangular","Прямоугольный"
"Regular","Регулярный"
"Regular Pickup","Regular Pickup"
"Request Courier","Вызов курьера"
"Residential","Residential"
"Residential Delivery","Residential Delivery"
"Response is in the wrong format","Неверный формат ответа"
"Round","Round"
"Second Day Service","Second Day Service"
"Sender","Отправитель"
"Ship to Applicable Countries","Ограничить доступность способа доставки покупателями из конкретных стран?"
"Ship to Specific Countries","Допустимые страны покупателей"
"Shipment Contains Hazardous Materials","Shipment Contains Hazardous Materials"
"Shipment Dutiable","Доставка, облагаемая пошлиной"
"Shipment Duty Payment Type","Тип облагаемой пошлины на доставку"
"Shipment Type","Shipment Type"
"Shipment is not available.","Shipment is not available."
"Shipment picked up","Shipment picked up"
"Shipper Number","Shipper Number"
"Shipping Key","Shipping Key"
"Shipping Key (International)","Shipping Key (International)"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Size","Размер"
"Sort Order","порядок"
"Standard Overnight","Standard Overnight"
"Station","Станция"
"Subtotal","Предварительный итог"
"Subtotal With Discount","Предварительный итог со скидкой"
"The response is in wrong format.","Ответ в неверном формате."
"There is no available method for selected shipping address.","Для указанного адреса отсутствуют доступные способы доставки."
"Third Party","Третья сторона"
"Title","Заголовок"
"To Lower","To Lower"
"To Upper","To Upper"
"Tracking XML URL","Tracking XML URL"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS Letter Envelope"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Second Day Air"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","UPS Tube"
"UPS Type","UPS Type"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"USPS","USPS"
"Unable to retrieve tracking","Невозможно получить отслеживание"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Unknown error","Неизвестная ошибка"
"Used only when ""Additional Protection Value"" is set to ""Configuration"". Can contain only numeric amount.","Used only when ""Additional Protection Value"" is set to ""Configuration"". Can contain only numeric amount."
"User ID","Системное имя для доступа к веб-сервису USPS"
"UserId","Системное имя для доступа к веб-сервису USPS"
"Variable","Переменная"
"Weight Unit","Weight Unit"
"Worldwide Expedited","Worldwide Expedited"
"Worldwide Express","Worldwide Express"
"Worldwide Express Letter","Worldwide Express Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Express Saver","Worldwide Express Saver"
"Yes","да"
"Your Packaging","Ваша посылка"
